Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,312,186,250
12/30/2020,73,312,186,310
12/31/2020,73,312,186,312
12/31/2020,10,13,,91
1/1/2021,12,314,188,314
,,,,
1/2/2021,53,316,191,216
,,,,
1/3/2021,26,307,179,207
1/4/2021,50,293,169,293
1/5/2021,50,313,189,213
1/6/2021,50,291,189,291
1/7/2021,50,280,192,280
1/8/2021,50,284,195,284
1/9/2021,50,288,198,288
1/10/2021,51,292,201,292
1/11/2021,56,296,204,296
1/12/2021,73,300,207,200
1/13/2021,73,304,210,204
1/14/2021,73,308,213,208
1/15/2021,73,312,216,212
1/16/2021,73,316,219,316
1/17/2021,56,320,222,220
1/18/2021,56,324,225,224
1/19/2021,56,328,228,222
1/20/2021,56,332,231,232
1/21/2021,78,329,232,229
1/22/2021,78,326,233,226
1/23/2021,78,323,234,223
1/24/2021,78,320,235,220
1/25/2021,78,317,236,217
1/26/2021,78,314,237,214
1/27/2021,78,305,235,205
1/28/2021,78,296,233,196
1/29/2021,53,287,231,187
1/30/2021,53,278,229,178
1/31/2021,53,269,227,169
2/1/2021,53,260,225,160
2/2/2021,53,251,223,151
2/3/2021,71,242,221,142
2/4/2021,71,233,219,233
2/5/2021,10,14,219,201
,,,,
2/6/2021,71,193,138,193
2/7/2021,71,193,138,150
2/8/2021,71,193,138,170
2/9/2021,10,26,138,203
2/10/2021,78,26,301,301
2/11/2021,78,26,260,260
2/12/2021,78,26,210,210
2/13/2021,67,245,155,245
2/14/2021,78,186,134,215
2/15/2021,78,185,185,185
2/16/2021,78,205,205,205
2/17/2021,78,210,210,210
2/18/2021,78,170,170,170
2/19/2021,78,132,132,132
2/20/2021,78,350,350,350
2/21/2021,78,410,410,410
2/22/2021,78,289,289,289
2/23/2021,43,220,220,220
2/24/2021,43,178,178,178
2/25/2021,43,213,213,213
2/26/2021,43,234,234,234
2/27/2021,43,360,360,360
2/28/2021,43,310,310,310
3/1/2021,43,178,178,178
3/2/2021,23,215,215,215
3/3/2021,23,240,240,240
3/4/2021,23,212,212,212
3/5/2021,23,310,310,310
3/6/2021,23,340,340,340
3/7/2021,23,264,264,264
3/8/2021,23,198,198,198
3/9/2021,45,178,178,178
3/10/2021,45,154,154,154
3/11/2021,45,160,160,160
3/12/2021,45,320,320,320
3/13/2021,45,390,390,390
3/14/2021,45,500,500,500
