Date,Benzene,Mp Xylene,Methanic,NH3,NO2,Non-Methanic,O_xylene,PM10,SO2,Toluene
2019-08-01,24.63,1.97,21.09,2.77,2.98,3.05,13.82,34.65,8.96,0.08
2019-08-02,7.22,12.75,21.05,1.13,1.39,6.63,43.72,38.88,9.77,2.05
2019-08-03,7.499285714285714,12.375,20.766428571428573,1.13,1.7692857142857141,6.480714285714286,42.34571428571429,39.447857142857146,9.823571428571428,1.9564285714285712
2019-08-04,7.7785714285714285,12.0,20.482857142857142,1.13,2.1485714285714286,6.331428571428571,40.97142857142857,40.01571428571429,9.877142857142857,1.8628571428571428
2019-08-05,8.057857142857143,11.625,20.199285714285715,1.13,2.527857142857143,6.182142857142857,39.597142857142856,40.58357142857143,9.930714285714286,1.7692857142857141
2019-08-06,8.337142857142858,11.25,19.915714285714287,1.13,2.9071428571428575,6.032857142857143,38.222857142857144,41.151428571428575,9.984285714285713,1.6757142857142857
2019-08-07,8.616428571428571,10.875,19.632142857142856,1.13,3.286428571428572,5.883571428571429,36.84857142857143,41.71928571428572,10.037857142857142,1.582142857142857
2019-08-08,8.895714285714286,10.5,19.34857142857143,1.13,3.6657142857142855,5.734285714285714,35.47428571428571,42.287142857142854,10.09142857142857,1.4885714285714284
2019-08-09,9.175,10.125,19.064999999999998,1.13,4.045,5.585,34.1,42.855,10.145,1.395
2019-08-10,9.454285714285714,9.75,18.78142857142857,1.13,4.424285714285714,5.435714285714286,32.72571428571429,43.42285714285714,10.198571428571428,1.3014285714285714
2019-08-11,9.733571428571429,9.375,18.497857142857143,1.13,4.803571428571429,5.286428571428571,31.35142857142857,43.99071428571428,10.252142857142857,1.2078571428571427
2019-08-12,10.012857142857143,9.0,18.21428571428571,1.13,5.182857142857143,5.137142857142857,29.97714285714286,44.558571428571426,10.305714285714286,1.1142857142857143
2019-08-13,10.292142857142858,8.625,17.930714285714284,1.13,5.562142857142858,4.987857142857143,28.602857142857143,45.12642857142857,10.359285714285713,1.0207142857142857
2019-08-14,10.571428571428573,8.25,17.647142857142857,1.13,5.941428571428571,4.838571428571429,27.228571428571428,45.69428571428571,10.412857142857142,0.927142857142857
2019-08-15,10.850714285714286,7.875,17.363571428571426,1.13,6.320714285714286,4.689285714285714,25.854285714285716,46.262142857142855,10.46642857142857,0.8335714285714286
2019-08-16,11.13,7.5,17.08,1.13,6.7,4.54,24.48,46.83,10.52,0.74
2019-08-17,4.75,0.95,14.35,0.11,4.73,3.25,29.91,37.32,18.23,0.27
2019-08-18,16.525,0.875,13.955,0.195,5.915,2.95,25.485,59.065,15.41,0.15000000000000002
2019-08-19,28.3,0.8,13.56,0.28,7.1,2.65,21.06,80.81,12.59,0.03
2019-08-20,22.48,9.54,16.51,24.93,6.76,5.49,31.57,82.29,19.71,0.68
2019-08-21,12.17,3.69,10.21,49.69,2.62,2.93,31.89,70.42,14.88,0.5
2019-08-22,13.49,2.49,9.36,17.28,1.99,2.63,23.07,77.27,13.76,0.18
2019-08-23,28.8,14.81,9.64,9.47,3.51,7.18,49.53,98.31,12.88,3.72
2019-08-24,13.14,1.01,9.54,7.65,3.76,2.78,31.64,61.2,13.42,0.14
2019-08-25,14.35,11.1,9.63,7.22,4.23,5.92,44.52,49.19,16.09,2.22
2019-08-26,21.62,7.75,10.27,8.8,5.9,5.48,36.61,69.53,21.83,2.01
2019-08-27,8.08,1.04,10.34,7.72,7.83,2.91,18.56,73.16,22.88,0.03
2019-08-28,41.25,21.9,12.13,11.92,5.06,14.37,62.09,49.53,17.74,9.0
2019-08-29,54.7,13.93,13.11,16.39,6.68,13.82,61.45,49.41,24.21,4.15
2019-08-30,44.59,9.9,18.0,12.07,4.77,8.85,42.27,43.13,24.95,2.64
2019-08-31,28.66,9.98,22.76,7.83,3.3,7.37,37.72,32.35,22.56,0.63
2019-09-01,19.03,9.91,22.12,6.57,1.89,7.27,43.12,13.23,21.88,0.08
2019-09-02,19.6,8.22,21.83,7.32,2.75,6.57,37.37,19.08,19.76,0.97
2019-09-03,26.25,15.88,21.92,7.17,2.93,9.22,52.66,11.81,21.63,2.31
2019-09-04,28.63,10.64,22.79,10.89,7.97,7.84,49.6,14.44,19.88,2.13
2019-09-05,10.5,11.57,21.59,8.55,4.17,8.22,42.27,13.42,19.3,0.16
2019-09-06,8.04,2.96,20.6,8.66,3.05,4.53,24.39,19.04,16.09,0.16
2019-09-07,9.34,3.98,20.68,9.67,4.52,4.17,25.68,19.25,14.93,0.36
