Date,O3,PM2.5,PM10,AQI
12/28/2020,10,325,190,325
12/29/2020,10,340,190,340
12/30/2020,10,363,190,363
12/31/2020,10,363,190,363
12/31/2020,63,100,273,273
,,,,
1/1/2021,92,91,100,100
,,,,
1/2/2021,53,316,191,216
1/3/2021,12,304,175,204
1/4/2021,146,320,379,279
1/5/2021,146,329,379,229
1/6/2021,146,312,309,212
1/7/2021,147,310,311,214
1/8/2021,148,308,313,216
1/9/2021,149,306,315,208
1/10/2021,150,304,317,220
1/11/2021,151,302,319,201
1/12/2021,152,305,321,212
1/13/2021,153,308,323,208
1/14/2021,154,311,325,204
1/15/2021,155,314,323,200
1/16/2021,156,309,321,196
1/17/2021,157,304,319,199
1/18/2021,158,299,317,202
1/19/2021,159,294,315,205
1/20/2021,160,289,313,208
1/21/2021,161,284,311,111
1/22/2021,162,279,309,214
1/23/2021,163,274,307,217
1/24/2021,164,269,305,220
1/25/2021,165,264,303,223
1/26/2021,163,268,302,127
1/27/2021,161,272,301,131
1/28/2021,159,276,300,135
1/29/2021,157,280,299,139
1/30/2021,155,284,298,137
1/31/2021,153,288,297,135
2/1/2021,151,292,296,133
2/2/2021,149,296,295,131
2/3/2021,147,300,294,129
2/4/2021,145,304,293,127
2/5/2021,53,,100,124
,,,,
2/6/2021,44,12,100,105
2/7/2021,44,18,110,110
2/8/2021,21,13,99,99
2/9/2021,10,14,102,102
2/10/2021,44,14,210,210
2/11/2021,12,14,104,104
2/12/2021,22,14,105,105
2/13/2021,30,22,100,100
2/14/2021,64,29,100,108
,,,,
