Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,312,186,250
12/30/2020,73,312,186,310
12/31/2020,73,312,186,312
01-01-2021,12,314,188,314
,,,,
01-02-2021,53,316,191,316
01-03-2021,26,307,179,207
01-04-2021,50,293,169,293
01-05-2021,26,307,179,300
01-06-2021,50,313,189,313
01-07-2021,53,311,191,216
01-08-2021,56,309,193,219
01-09-2021,59,307,195,222
01-10-2021,62,305,197,215
01-11-2021,65,303,199,218
01-12-2021,68,301,201,231
1/13/2021,71,309,203,234
1/14/2021,74,317,205,257
1/15/2021,77,325,207,240
1/16/2021,80,333,209,213
1/17/2021,83,341,211,246
1/18/2021,81,349,208,249
1/19/2021,79,357,205,252
1/20/2021,77,365,202,265
1/21/2021,75,373,199,250
1/22/2021,73,381,196,275
1/23/2021,71,389,193,240
1/24/2021,69,382,190,265
1/25/2021,67,375,187,230
1/26/2021,65,368,184,265
1/27/2021,63,361,181,220
1/28/2021,61,354,178,235
1/29/2021,59,347,175,210
1/30/2021,62,340,172,205
1/31/2021,65,330,178,213
02-01-2021,68,320,184,201
02-02-2021,71,310,190,299
02-03-2021,74,300,196,297
02-04-2021,77,290,202,295
02-05-2021,53,,100,224
,,,,
02-06-2021,71,193,138,193
02-07-2021,71,192,120,190
02-08-2021,34,80,140,160
02-09-2021,34,80,140,156
02-10-2021,44,75,155,155
02-11-2021,24,120,128,128
02-12-2021,55,170,178,178
2/13/2021,67,245,155,245
2/14/2021,78,186,134,146
2/15/2021,78,185,185,185
2/16/2021,78,205,205,205
2/17/2021,78,210,210,210
2/18/2021,78,170,170,170
2/19/2021,78,132,132,132
2/20/2021,78,350,350,250
2/21/2021,78,410,410,210
2/22/2021,78,289,289,289
2/23/2021,43,220,220,220
2/24/2021,43,178,178,178
2/25/2021,43,213,213,213
2/26/2021,43,234,234,234
2/27/2021,43,360,360,263
2/28/2021,43,310,310,310
03-01-2021,43,178,178,178
03-02-2021,23,215,215,215
03-03-2021,23,240,240,240
03-04-2021,23,212,212,212
03-05-2021,23,310,310,110
03-06-2021,23,340,340,140
03-07-2021,23,264,264,164
03-08-2021,23,198,198,198
03-09-2021,45,178,178,178
03-10-2021,45,154,154,154
03-11-2021,45,160,160,160
03-12-2021,45,320,320,198
3/13/2021,45,390,390,280
3/14/2021,45,500,500,267
