Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,312,186,250
12/30/2020,73,312,186,310
12/31/2020,73,312,186,312
12/31/2020,10,363,190,363
1/1/2021,12,314,188,314
,,,,
1/2/2021,53,316,191,316
,,,,
1/3/2021,26,307,179,307
,,,,
1/4/2021,50,293,169,293
1/5/2021,50,293,169,305
1/6/2021,50,313,189,313
1/7/2021,72,318,188,318
1/8/2021,73,323,187,323
1/9/2021,74,328,186,328
1/10/2021,75,333,185,333
1/11/2021,76,338,184,338
1/12/2021,77,343,183,343
1/13/2021,78,348,182,348
1/14/2021,79,353,181,353
1/15/2021,80,358,180,358
1/16/2021,81,363,179,363
1/17/2021,82,368,178,368
1/18/2021,83,373,177,373
1/19/2021,80,378,176,378
1/20/2021,77,383,175,375
1/21/2021,74,380,174,372
1/22/2021,71,377,172,369
1/23/2021,68,374,170,366
1/24/2021,65,371,168,363
1/25/2021,62,368,166,360
1/26/2021,59,365,164,357
1/27/2021,56,362,162,354
1/28/2021,53,359,160,351
1/29/2021,50,356,158,348
1/30/2021,57,349,156,341
1/31/2021,64,342,154,334
2/1/2021,71,335,155,327
2/2/2021,78,328,156,320
2/3/2021,85,321,157,313
2/4/2021,92,314,158,306
2/5/2021,10,259,171,259
,,,,
2/6/2021,71,193,138,193
2/7/2021,45,170,154,154
2/8/2021,15,105,122,122
2/9/2021,10,14,102,102
2/10/2021,56,34,122,122
2/11/2021,56,34,187,187
2/12/2021,56,34,104,104
2/13/2021,67,245,155,245
2/14/2021,78,186,134,178
,,,,
