Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,,273,273
12/31/2020,10,13,,91
,,,,
12/31/2020,10,13,,91
,,,,
1/1/2021,12,314,188,314
,,,,
1/1/2021,12,314,188,314
1/2/2021,51,305,174,305
1/3/2021,26,307,179,307
1/4/2021,50,293,169,293
1/5/2021,50,313,189,313
1/6/2021,50,313,189,313
1/7/2021,52,318,191,316
1/8/2021,54,323,193,319
1/9/2021,56,328,195,322
1/10/2021,58,333,197,325
1/11/2021,60,338,199,328
1/12/2021,62,343,201,331
1/13/2021,64,348,203,334
1/14/2021,66,353,205,337
1/15/2021,68,358,207,340
1/16/2021,70,363,209,343
1/17/2021,66,180,211,180
1/18/2021,62,189,213,183
1/19/2021,58,198,215,186
1/20/2021,54,207,217,189
1/21/2021,50,216,219,192
1/22/2021,46,225,221,195
1/23/2021,42,234,223,198
1/24/2021,38,238,233,208
1/25/2021,34,242,243,218
1/26/2021,30,246,253,228
1/27/2021,26,250,263,238
1/28/2021,28,254,273,248
1/29/2021,30,258,283,258
1/30/2021,32,262,293,268
1/31/2021,34,266,303,278
2/1/2021,36,270,313,288
2/2/2021,38,274,323,298
2/3/2021,40,278,333,308
2/4/2021,42,282,343,318
2/5/2021,10,14,101,101
2/6/2021,71,193,138,193
2/7/2021,25,90,122,122
2/8/2021,13,53,188,188
2/9/2021,10,14,102,102
2/10/2021,33,88,133,133
2/11/2021,22,21,108,108
2/12/2021,91,14,188,188
2/13/2021,67,245,155,245
2/14/2021,78,186,134,156
,,,,
