Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,218,273,273
12/31/2020,63,223,273,273
1/1/2021,50,228,277,277
1/2/2021,51,233,281,281
1/3/2021,52,238,285,215
1/4/2021,53,243,289,289
1/5/2021,54,248,293,293
1/6/2021,55,253,297,247
1/7/2021,56,258,301,301
1/8/2021,57,263,305,205
1/9/2021,58,268,309,209
1/10/2021,59,273,313,213
1/11/2021,60,278,317,217
1/12/2021,61,283,305,321
1/13/2021,62,288,293,225
1/14/2021,63,293,281,213
1/15/2021,64,298,269,301
1/16/2021,65,295,257,289
1/17/2021,66,292,245,277
1/18/2021,67,289,233,165
1/19/2021,68,286,221,153
1/20/2021,69,283,209,141
1/21/2021,70,280,214,244
1/22/2021,71,277,219,147
1/23/2021,72,274,224,250
1/24/2021,70,271,229,253
1/25/2021,68,268,234,156
1/26/2021,66,265,239,259
1/27/2021,64,268,244,162
1/28/2021,62,271,249,265
1/29/2021,60,274,254,268
1/30/2021,58,277,259,172
1/31/2021,56,280,262,176
2/1/2021,54,283,265,180
2/2/2021,52,286,268,184
2/3/2021,50,289,271,188
2/4/2021,48,289,274,292
2/5/2021,22,46,210,210
2/6/2021,55,23,186,186
2/7/2021,23,23,115,115
2/8/2021,23,23,155,155
2/9/2021,23,23,107,107
2/10/2021,23,66,111,111
2/11/2021,23,66,147,147
2/12/2021,44,66,178,178
2/13/2021,67,245,155,245
2/14/2021,78,186,134,176
