Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,,273,273
12/31/2020,10,13,,91
1/1/2021,12,314,188,314
,,,,
1/2/2021,53,316,191,316
1/3/2021,26,307,179,307
1/4/2021,50,293,169,293
1/5/2021,50,293,169,293
1/6/2021,50,313,189,313
1/7/2021,53,318,192,317
1/8/2021,56,323,195,321
1/9/2021,59,328,198,325
1/10/2021,62,333,201,329
1/11/2021,65,338,204,333
1/12/2021,68,343,207,337
1/13/2021,71,348,210,341
1/14/2021,74,353,213,345
1/15/2021,77,358,216,349
1/16/2021,80,356,219,353
1/17/2021,83,354,222,351
1/18/2021,81,352,225,349
1/19/2021,79,350,228,347
1/20/2021,77,348,231,345
1/21/2021,75,346,234,343
1/22/2021,73,344,237,341
1/23/2021,71,342,240,339
1/24/2021,69,340,244,337
1/25/2021,67,338,248,335
1/26/2021,65,328,252,333
1/27/2021,63,318,256,145
1/28/2021,61,308,260,155
1/29/2021,59,298,264,165
1/30/2021,60,288,268,175
1/31/2021,61,278,272,185
2/1/2021,62,268,276,195
2/2/2021,63,258,276,205
2/3/2021,64,248,276,215
2/4/2021,65,248,276,225
2021-02-05,10,14,,101
2021-02-06,71,193,138,193
2021-02-09,10,26,,103
2021-02-09,10,14,,102
2021-02-09,10,14,,102
