Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,,273,273
12/31/2020,63,,312,312
,,,,
01-01-2021,92,,100,100
,,,,
01-02-2021,53,316,191,316
01-03-2021,26,307,179,307
01-04-2021,146,307,379,379
01-05-2021,146,307,379,379
01-06-2021,10,302,307,307
01-07-2021,40,297,301,302
01-08-2021,41,292,295,197
01-09-2021,42,287,289,192
01-10-2021,43,282,283,287
01-11-2021,44,277,277,282
01-12-2021,45,272,271,177
1/13/2021,46,267,265,172
1/14/2021,47,262,259,267
1/15/2021,48,257,253,262
1/16/2021,49,252,247,157
1/17/2021,50,247,241,252
1/18/2021,51,242,235,247
1/19/2021,52,237,229,242
1/20/2021,53,232,223,237
1/21/2021,54,227,217,232
1/22/2021,55,222,211,227
1/23/2021,53,217,205,122
1/24/2021,51,227,215,332
1/25/2021,49,237,225,242
1/26/2021,47,247,235,152
1/27/2021,45,257,245,262
1/28/2021,43,267,255,172
1/29/2021,41,277,265,282
1/30/2021,39,287,275,292
1/31/2021,37,297,285,302
02-01-2021,35,307,295,212
02-02-2021,33,317,305,222
02-03-2021,31,327,315,232
02-04-2021,29,337,325,142
02-05-2021,53,124,100,124
,,,,
02-06-2021,44,18,100,105
02-07-2021,12,10,108,108
02-08-2021,16,30,100,100
02-09-2021,10,14,102,102
02-10-2021,87,33,111,111
02-11-2021,87,33,111,111
02-12-2021,87,33,108,108
2/13/2021,30,33,100,100
2/14/2021,64,33,100,96
2/15/2021,78,185,185,185
2/16/2021,78,205,205,205
2/17/2021,78,210,210,210
2/18/2021,78,170,170,170
2/19/2021,78,132,132,132
2/20/2021,78,350,350,150
2/21/2021,78,410,410,110
2/22/2021,78,289,289,289
2/23/2021,43,220,220,220
2/24/2021,43,178,178,178
2/25/2021,43,213,213,213
2/26/2021,43,234,234,234
2/27/2021,43,360,360,160
2/28/2021,43,310,310,110
03-01-2021,43,178,178,178
03-02-2021,23,215,215,115
03-03-2021,23,240,240,140
03-04-2021,23,212,212,212
03-05-2021,23,310,310,110
03-06-2021,23,340,340,240
03-07-2021,23,264,264,264
03-08-2021,23,198,198,198
03-09-2021,45,178,178,178
03-10-2021,45,154,154,154
03-11-2021,45,160,160,160
03-12-2021,45,320,320,220
3/13/2021,45,390,390,280
3/14/2021,45,200,200,210
