Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,,273,273
12/31/2020,63,,273,273
1/1/2021,92,,100,100
,,,,
1/2/2021,53,316,191,316
1/3/2021,12,304,175,304
1/4/2021,146,304,379,379
1/5/2021,146,304,379,379
1/6/2021,10,296,307,307
1/7/2021,40,288,297,299
1/8/2021,41,280,287,291
1/9/2021,42,272,277,283
1/10/2021,43,264,267,275
1/11/2021,44,256,257,267
1/12/2021,45,248,247,259
1/13/2021,46,240,237,251
1/14/2021,47,232,227,243
1/15/2021,48,224,217,235
1/16/2021,49,216,207,227
1/17/2021,51,208,197,219
1/18/2021,53,200,187,211
1/19/2021,55,192,177,203
1/20/2021,57,184,167,195
1/21/2021,59,176,157,187
1/22/2021,61,183,164,194
1/23/2021,63,190,171,201
1/24/2021,65,197,178,208
1/25/2021,67,204,185,215
1/26/2021,69,211,192,222
1/27/2021,67,218,199,229
1/28/2021,65,225,206,236
1/29/2021,63,232,213,243
1/30/2021,61,239,220,250
1/31/2021,59,246,227,257
2/1/2021,57,253,234,264
2/2/2021,55,260,241,271
2/3/2021,53,267,248,278
2/4/2021,51,267,255,285
2/5/2021,53,124,100,124
,,,,
2/6/2021,44,18,100,105
2/7/2021,44,22,110,110
2/8/2021,44,12,103,103
2/9/2021,10,14,102,102
2/10/2021,,,,
2/11/2021,,,,
2/12/2021,,,,
,,,,
2/13/2021,30,,100,100
