Date,O3,PM2.5,PM10,AQI
12/28/2020,73,312,186,270
12/29/2020,73,213,186,280
12/30/2020,63,,273,273
12/31/2020,10,13,,91
1/1/2021,12,314,188,314
,,,,
1/2/2021,53,316,191,316
1/3/2021,26,307,179,307
1/4/2021,50,293,169,293
1/5/2021,50,293,169,293
1/6/2021,50,313,169,313
1/7/2021,43,309,172,309
1/8/2021,44,305,175,305
1/9/2021,45,301,178,301
1/10/2021,46,297,181,297
1/11/2021,47,293,184,293
1/12/2021,48,289,187,289
1/13/2021,49,285,190,285
1/14/2021,50,281,193,281
1/15/2021,51,277,196,277
1/16/2021,52,273,199,273
1/17/2021,53,269,202,269
1/18/2021,54,265,205,265
1/19/2021,55,261,208,261
1/20/2021,56,257,211,257
1/21/2021,57,253,214,253
1/22/2021,58,249,217,249
1/23/2021,59,245,220,245
1/24/2021,60,241,223,241
1/25/2021,61,237,227,237
1/26/2021,62,254,231,254
1/27/2021,63,271,235,271
1/28/2021,56,288,239,288
1/29/2021,49,305,243,305
1/30/2021,42,322,247,322
1/31/2021,35,339,251,339
2/1/2021,28,356,255,356
2/2/2021,21,373,259,373
2/3/2021,14,390,263,390
2/4/2021,7,390,267,390
2021-02-05,10,14,,101
