Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,66603,36298,30237,2.68,5.55,73.6,58011,6926,1132,51950,1998,6660,2664,9473,40161,4595,5794,1798
2012,79724,43449,36194,2.68,5.55,73.6,69439,8291,1355,62184,2391,7972,3188,9473,48073,5500,6936,2152
2013,95429,52009,43325,2.68,5.55,73.6,83119,9924,1622,74435,2862,9542,3817,9473,57544,6584,8302,2576
2014,114229,62255,51860,2.68,5.55,73.6,99493,11879,1941,89099,3426,11422,4569,9473,68880,7881,9937,3084
2015,136732,74519,62076,2.68,5.55,73.6,119094,14220,2324,106651,4101,13673,5469,9473,82449,9434,11895,3691
2016,163669,89199,74305,2.68,5.55,73.6,142555,17021,2782,127661,4910,16366,6546,9473,98692,11293,14239,4419
2017,195912,106772,88944,2.68,5.55,73.6,170639,20374,3330,152811,5877,19591,7836,9473,118134,13517,17044,5289
2018,234506,127806,106466,2.68,5.55,73.6,204255,24388,3986,182915,7035,23450,9380,9473,141407,16180,20402,6331
2019,280704,152983,127439,2.68,5.55,73.6,244493,29193,4771,218949,8421,28070,11228,9473,169264,19368,24421,7579
2020,336003,183121,152545,2.68,5.55,73.6,292658,34944,5712,262082,10080,33600,13440,9473,202609,23184,29232,9072
2021,402195,219196,182596,2.68,5.55,73.6,350312,41828,6837,313712,12065,40219,16087,9473,242524,27751,34991,10859
