Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,202507,110366,91938,9.3,5.55,73.6,176384,21060,3442,157955,6075,20250,8100,9473,122112,13973,17618,5467
2012,201494,109814,91478,9.3,5.55,73.6,175502,20955,3425,157166,6044,20149,8059,9473,121501,13903,17530,5440
2013,200487,109265,91021,9.3,5.55,73.6,174624,20850,3408,156380,6014,20048,8019,9473,120893,13833,17442,5413
2014,199485,108719,90566,9.3,5.55,73.6,173751,20746,3391,155598,5984,19948,7979,9473,120289,13764,17355,5386
2015,198487,108175,90113,9.3,5.55,73.6,172882,20642,3374,154820,5954,19848,7939,9473,119688,13695,17268,5359
2016,197495,107634,89662,9.3,5.55,73.6,172018,20539,3357,154046,5924,19749,7899,9473,119089,13627,17182,5332
2017,196507,107096,89214,9.3,5.55,73.6,171158,20436,3340,153276,5895,19650,7860,9473,118494,13559,17096,5305
2018,195525,106561,88768,9.3,5.55,73.6,170302,20334,3323,152509,5865,19552,7821,9473,117901,13491,17010,5279
2019,194547,106028,88324,9.3,5.55,73.6,169450,20232,3307,151747,5836,19454,7781,9473,117312,13423,16925,5252
2020,193574,105498,87882,9.3,5.55,73.6,168603,20131,3290,150988,5807,19357,7742,9473,116725,13356,16841,5226
2021,192606,104970,87443,9.3,5.55,73.6,167760,20031,3274,150233,5778,19260,7704,9473,116141,13289,16756,5200
