Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,30702,16732,13939,1.41,5.55,73.6,26742,3193,521,23948,921,3070,1228,9473,18513,2118,2671,828
2012,30549,16649,13869,1.41,5.55,73.6,26608,3177,519,23828,916,3054,1221,9473,18421,2107,2657,824
2013,30396,16566,13800,1.41,5.55,73.6,26475,3161,516,23709,911,3039,1215,9473,18329,2097,2644,820
2014,30244,16483,13731,1.41,5.55,73.6,26342,3145,514,23590,907,3024,1209,9473,18237,2086,2631,816
2015,30093,16400,13662,1.41,5.55,73.6,26211,3129,511,23472,902,3009,1203,9473,18146,2076,2618,812
2016,29942,16318,13594,1.41,5.55,73.6,26080,3114,509,23355,898,2994,1197,9473,18055,2066,2605,808
2017,29793,16237,13526,1.41,5.55,73.6,25949,3098,506,23238,893,2979,1191,9473,17965,2055,2592,804
2018,29644,16156,13458,1.41,5.55,73.6,25820,3082,503,23122,889,2964,1185,9473,17875,2045,2579,800
2019,29495,16075,13391,1.41,5.55,73.6,25690,3067,501,23006,884,2949,1179,9473,17786,2035,2566,796
2020,29348,15994,13324,1.41,5.55,73.6,25562,3052,498,22891,880,2934,1173,9473,17697,2025,2553,792
2021,29201,15914,13257,1.41,5.55,73.6,25434,3036,496,22777,876,2920,1168,9473,17608,2014,2540,788
