Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,138425,75441,62845,5.57,5.55,73.6,120568,14396,2353,107971,4152,13842,5537,9473,83470,9551,12043,3737
2012,165695,90304,75225,5.57,5.55,73.6,144320,17232,2816,129242,4970,16569,6627,9473,99914,11432,14415,4473
2013,198337,108093,90045,5.57,5.55,73.6,172751,20627,3371,154703,5950,19833,7933,9473,119597,13685,17255,5355
2014,237409,129388,107784,5.57,5.55,73.6,206784,24690,4035,185179,7122,23740,9496,9473,143158,16381,20654,6410
2015,284179,154877,129017,5.57,5.55,73.6,247520,29554,4831,221660,8525,28417,11367,9473,171360,19608,24723,7672
2016,340163,185388,154434,5.57,5.55,73.6,296282,35376,5782,265327,10204,34016,13606,9473,205118,23471,29594,9184
2017,407175,221910,184857,5.57,5.55,73.6,354649,42346,6921,317596,12215,40717,16287,9473,245526,28095,35424,10993
2018,487388,265626,221274,5.57,5.55,73.6,424515,50688,8285,380163,14621,48738,19495,9473,293895,33629,42402,13159
2019,583404,317955,264865,5.57,5.55,73.6,508145,60674,9917,455055,17502,58340,23336,9473,351792,40254,50756,15751
2020,698335,380592,317044,5.57,5.55,73.6,608249,72626,11871,544701,20950,69833,27933,9473,421096,48185,60755,18855
2021,835907,455569,379501,5.57,5.55,73.6,728075,86934,14210,652007,25077,83590,33436,9473,504052,57677,72723,22569
