Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,41502,22619,18842,1.67,5.55,73.6,36148,4316,705,32372,1245,4150,1660,9473,25026,2863,3610,1120
2012,49678,27075,22554,1.67,5.55,73.6,43270,5166,844,38749,1490,4967,1987,9473,29956,3427,4322,1341
2013,59465,32408,26997,1.67,5.55,73.6,51794,6184,1010,46383,1783,5946,2378,9473,35857,4103,5173,1605
2014,71180,38793,32315,1.67,5.55,73.6,61998,7402,1210,55520,2135,7118,2847,9473,42921,4911,6192,1921
2015,85202,46435,38682,1.67,5.55,73.6,74211,8861,1448,66458,2556,8520,3408,9473,51377,5879,7412,2300
2016,101987,55583,46302,1.67,5.55,73.6,88831,10606,1733,79550,3059,10198,4079,9473,61498,7037,8872,2753
2017,122079,66533,55424,1.67,5.55,73.6,106331,12696,2075,95222,3662,12207,4883,9473,73613,8423,10620,3296
2018,146129,79640,66342,1.67,5.55,73.6,127278,15197,2484,113980,4383,14612,5845,9473,88115,10082,12713,3945
2019,174916,95329,79412,1.67,5.55,73.6,152352,18191,2973,136434,5247,17491,6996,9473,105474,12069,15217,4722
2020,209375,114109,95056,1.67,5.55,73.6,182365,21775,3559,163312,6281,20937,8375,9473,126253,14446,18215,5653
2021,250622,136589,113782,1.67,5.55,73.6,218291,26064,4260,195485,7518,25062,10024,9473,151125,17292,21804,6766
