Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,105005,57228,47672,5.57,5.55,73.6,91459,10920,1785,81904,3150,10500,4200,9473,63318,7245,9135,2835
2012,104480,56941,47434,5.57,5.55,73.6,91002,10865,1776,81494,3134,10448,4179,9473,63001,7209,9089,2820
2013,103958,56657,47197,5.57,5.55,73.6,90547,10811,1767,81087,3118,10395,4158,9473,62686,7173,9044,2806
2014,103438,56373,46961,5.57,5.55,73.6,90094,10757,1758,80681,3103,10343,4137,9473,62373,7137,8999,2792
2015,102921,56092,46726,5.57,5.55,73.6,89644,10703,1749,80278,3087,10292,4116,9473,62061,7101,8954,2778
2016,102406,55811,46492,5.57,5.55,73.6,89196,10650,1740,79877,3072,10240,4096,9473,61751,7066,8909,2764
2017,101894,55532,46260,5.57,5.55,73.6,88750,10597,1732,79477,3056,10189,4075,9473,61442,7030,8864,2751
2018,101385,55254,46028,5.57,5.55,73.6,88306,10544,1723,79080,3041,10138,4055,9473,61135,6995,8820,2737
2019,100878,54978,45798,5.57,5.55,73.6,87864,10491,1714,78684,3026,10087,4035,9473,60829,6960,8776,2723
2020,100373,54703,45569,5.57,5.55,73.6,87425,10438,1706,78291,3011,10037,4014,9473,60525,6925,8732,2710
2021,99871,54430,45341,5.57,5.55,73.6,86988,10386,1697,77900,2996,9987,3994,9473,60222,6891,8688,2696
