Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,80023,43612,36330,3.22,5.55,73.6,69700,8322,1360,62418,2400,8002,3200,9473,48254,5521,6962,2160
2012,95788,52204,43487,3.22,5.55,73.6,83431,9961,1628,74714,2873,9578,3831,9473,57760,6609,8333,2586
2013,114658,62488,52054,3.22,5.55,73.6,99867,11924,1949,89433,3439,11465,4586,9473,69138,7911,9975,3095
2014,137245,74799,62309,3.22,5.55,73.6,119541,14273,2333,107051,4117,13724,5489,9473,82759,9469,11940,3705
2015,164283,89534,74584,3.22,5.55,73.6,143090,17085,2792,128141,4928,16428,6571,9473,99062,11335,14292,4435
2016,196647,107172,89277,3.22,5.55,73.6,171279,20451,3343,153384,5899,19664,7865,9473,118578,13568,17108,5309
2017,235386,128285,106865,3.22,5.55,73.6,205021,24480,4001,183601,7061,23538,9415,9473,141938,16241,20478,6355
2018,281758,153558,127918,3.22,5.55,73.6,245411,29302,4789,219771,8452,28175,11270,9473,169900,19441,24512,7607
2019,337264,183809,153118,3.22,5.55,73.6,293757,35075,5733,263066,10117,33726,13490,9473,203370,23271,29341,9106
2020,403705,220019,183282,3.22,5.55,73.6,351627,41985,6862,314890,12111,40370,16148,9473,243434,27855,35122,10900
2021,483235,263363,219388,3.22,5.55,73.6,420898,50256,8215,376923,14497,48323,19329,9473,291390,33343,42041,13047
