Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,53431,29120,24258,2.15,5.55,73.6,46539,5556,908,41676,1602,5343,2137,9473,32219,3686,4648,1442
2012,63957,34857,29036,2.15,5.55,73.6,55707,6651,1087,49887,1918,6395,2558,9473,38566,4413,5564,1726
2013,76557,41723,34757,2.15,5.55,73.6,66681,7961,1301,59714,2296,7655,3062,9473,46164,5282,6660,2067
2014,91639,49943,41604,2.15,5.55,73.6,79817,9530,1557,71478,2749,9163,3665,9473,55258,6323,7972,2474
2015,109692,59782,49800,2.15,5.55,73.6,95542,11408,1864,85560,3290,10969,4387,9473,66144,7568,9543,2961
2016,131301,71559,59611,2.15,5.55,73.6,114363,13655,2232,102415,3939,13130,5252,9473,79174,9059,11423,3545
2017,157168,85656,71354,2.15,5.55,73.6,136893,16345,2671,122591,4715,15716,6286,9473,94772,10844,13673,4243
2018,188130,102531,85411,2.15,5.55,73.6,163861,19565,3198,146741,5643,18813,7525,9473,113442,12980,16367,5079
2019,225192,122729,102237,2.15,5.55,73.6,196142,23419,3828,175649,6755,22519,9007,9473,135790,15538,19591,6080
2020,269554,146907,122377,2.15,5.55,73.6,234782,28033,4582,210252,8086,26955,10782,9473,162541,18599,23451,7277
2021,322657,175848,146486,2.15,5.55,73.6,281034,33556,5485,251672,9679,32265,12906,9473,194562,22263,28071,8711
