Year,Population,Male,Female,Area,Family_size,Avg_Literacy,Muslim,Hindu,Baudha,Hindi,Marathi,Bhjopuri,Urdu,Avg_income,Casual_labour,Business,Employeed,Rag_picker
2011,107677,58683,48885,7.25,5.55,73.6,93786,11198,1830,83988,3230,10767,4307,9473,64929,7429,9367,2907
2012,128889,70244,58515,7.25,5.55,73.6,112262,13404,2191,100533,3866,12888,5155,9473,77720,8893,11213,3480
2013,154280,84082,70043,7.25,5.55,73.6,134378,16045,2622,120338,4628,15428,6171,9473,93031,10645,13422,4165
2014,184673,100647,83841,7.25,5.55,73.6,160850,19206,3139,144045,5540,18467,7386,9473,111358,12742,16066,4986
2015,221054,120474,100358,7.25,5.55,73.6,192538,22989,3757,172422,6631,22105,8842,9473,133295,15252,19231,5968
2016,264602,144208,120129,7.25,5.55,73.6,230468,27518,4498,206389,7938,26460,10584,9473,159555,18257,23020,7144
2017,316729,172617,143794,7.25,5.55,73.6,275870,32939,5384,247048,9501,31672,12669,9473,190987,21854,27555,8551
2018,379124,206622,172122,7.25,5.55,73.6,330217,39428,6445,295717,11373,37912,15164,9473,228612,26159,32983,10236
2019,453812,247327,206030,7.25,5.55,73.6,395270,47196,7714,353973,13614,45381,18152,9473,273648,31313,39481,12252
2020,543213,296051,246618,7.25,5.55,73.6,473138,56494,9234,423706,16296,54321,21728,9473,327557,37481,47259,14666
2021,650226,354373,295202,7.25,5.55,73.6,566347,67623,11053,507176,19506,65022,26009,9473,392086,44865,56569,17556
