,date,aqicheddha,aqitilak,aqisindhi,aqimahul,aqichembur,avg
0,12/28/2020,325.0,270.0,270.0,270.0,351.0,297.2
1,12/29/2020,340.0,280.0,280.0,280.0,363.0,308.6
2,12/30/2020,363.0,273.0,273.0,273.0,273.0,291.0
3,12/31/2020,363.0,273.0,91.0,91.0,,204.5
4,12/31/2020,273.0,100.0,314.0,,100.0,196.75
6,1/1/2021,100.0,316.0,316.0,,316.0,262.0
8,1/2/2021,216.0,379.0,293.0,,379.0,316.75
9,1/3/2021,204.0,379.0,293.0,314.0,318.0,301.6
10,1/4/2021,279.0,307.0,313.0,305.0,307.0,302.2
11,1/5/2021,229.0,299.0,317.0,307.0,313.0,293.0
12,1/6/2021,212.0,291.0,321.0,293.0,219.0,267.2
13,1/7/2021,214.0,283.0,325.0,313.0,225.0,272.0
14,1/8/2021,216.0,275.0,329.0,313.0,231.0,272.8
15,1/9/2021,208.0,267.0,333.0,316.0,237.0,272.2
16,1/10/2021,220.0,259.0,337.0,319.0,243.0,275.6
17,1/11/2021,201.0,251.0,341.0,322.0,249.0,272.8
18,1/12/2021,212.0,243.0,345.0,325.0,255.0,276.0
19,1/13/2021,208.0,235.0,349.0,328.0,261.0,276.2
20,1/14/2021,204.0,227.0,353.0,331.0,267.0,276.4
21,1/15/2021,200.0,219.0,351.0,334.0,265.0,273.8
22,1/16/2021,196.0,211.0,349.0,337.0,263.0,271.2
23,1/17/2021,199.0,203.0,347.0,340.0,261.0,270.0
24,1/18/2021,202.0,195.0,345.0,343.0,259.0,268.8
25,1/19/2021,205.0,187.0,343.0,180.0,257.0,234.4
26,1/20/2021,208.0,194.0,341.0,183.0,255.0,236.2
27,1/21/2021,111.0,201.0,339.0,186.0,253.0,218.0
28,1/22/2021,214.0,208.0,337.0,189.0,251.0,239.8
29,1/23/2021,217.0,215.0,335.0,192.0,249.0,241.6
30,1/24/2021,220.0,222.0,333.0,195.0,247.0,243.4
31,1/25/2021,223.0,229.0,145.0,198.0,245.0,208.0
32,1/26/2021,127.0,236.0,155.0,208.0,243.0,193.8
33,1/27/2021,131.0,243.0,165.0,218.0,141.0,179.6
34,1/28/2021,135.0,250.0,175.0,228.0,139.0,185.4
35,1/29/2021,139.0,257.0,185.0,238.0,237.0,211.2
36,1/30/2021,137.0,264.0,195.0,248.0,235.0,215.8
37,1/31/2021,135.0,271.0,205.0,258.0,133.0,200.4
38,2/1/2021,133.0,278.0,215.0,268.0,231.0,225.0
39,2/2/2021,131.0,285.0,225.0,278.0,229.0,229.6
40,2/3/2021,129.0,124.0,101.0,288.0,124.0,153.2
41,2/4/2021,127.0,,,298.0,,212.5
42,2/5/2021,124.0,105.0,193.0,308.0,145.0,175.0
44,2/6/2021,105.0,103.0,105.0,101.0,113.0,105.4
45,2/7/2021,110.0,102.0,102.0,193.0,122.0,125.8
46,2/8/2021,99.0,108.0,111.0,122.0,167.0,121.4
47,2/9/2021,102.0,111.0,144.0,188.0,125.0,134.0
48,2/10/2021,210.0,91.0,133.0,102.0,108.0,128.8
49,2/11/2021,104.0,,,133.0,100.0,112.33333333333333
50,2/12/2021,105.0,100.0,245.0,108.0,102.0,132.0
51,2/13/2021,100.0,109.0,196.0,188.0,,148.25
