Date,Benzene,Ethyl Benzene,Ethyl Merca,H2s,Mp Xylene,Methyl Mercaptan,NH3,O_xylene,PM10,PM2.5,SO2,Toluene,avg
8/1/2019,250.94,633.73,4.25,13.3,633.73,0,22.91,633.73,17.18,25.7,42.13,633.73,242.6108333
8/2/2019,142.52,296.1,3.75,0.91,306.24,2.81,24.85,300.26,17.99,20.39,40.13,309.43,122.115
8/3/2019,0.83,0.04,2.74,0.09,14.73,3.79,19.72,5.87,17.74,18.96,44.54,18.82,12.3225
8/4/2019,1.03,0,2.14,0,18.64,1.33,18.58,9.54,18.03,19.11,37.19,39.13,13.72666667
8/5/2019,1.87,0.44,2.93,0,24.57,6.47,18.62,12.26,18.39,18.59,35.85,45.97,15.49666667
8/6/2019,2.96,5.48,1.7,0,23.88,0,18.74,13.83,18.26,18.86,38.74,37.22,14.9725
8/7/2019,0.36,0,2.19,0,13.32,4.03,19.35,4.65,18.95,19.58,42.94,18.05,11.95166667
8/8/2019,0.02,0,0,0,11.41,0,19.65,4.54,20.78,19.97,46.54,13.65,11.38
8/9/2019,0.1,0,0.91,0.05,8.06,2.35,15.98,2.18,21.01,21,43.13,6.93,10.14166667
8/10/2019,0.23,0,1.9,0.14,5.65,1.4,12.44,0.4,20.9,21.15,40.49,5.55,9.1875
8/11/2019,0.64,0,1.56,0.06,6.06,2.02,14.81,0.53,20.98,21.46,41.83,5.84,9.649166667
8/12/2019,0.88,0.04,1.47,0,13.99,3.48,15.68,6.44,20.33,20.57,40.26,28.49,12.63583333
8/13/2019,2.15,2.86,2.21,0,21.79,3.04,17.83,12.28,19.11,19.24,36.97,43.25,15.06083333
8/14/2019,1.27,0,3.45,0,16.54,3.66,18.48,8.43,20.25,19.88,32.32,34.72,13.25
8/15/2019,2.76,3.66,1.23,0,24.8,4.54,19.57,13.91,20.41,23.9,32.85,49.57,16.43333333
8/16/2019,0.28,0,1.67,1.64,9.12,2.27,18.23,3.93,19.36,19.74,38.97,12.37,10.63166667
8/17/2019,0.65,0,1.55,0,6.33,2.86,17.92,1.17,20.32,20.78,39.05,6.12,9.729166667
8/18/2019,0.75,0,2.61,0.05,13.35,2.47,19.58,5.92,19.51,20.1,35.25,28.16,12.3125
8/19/2019,1.16,0.09,1.05,0.02,15.33,2.22,19.75,8.78,18.72,19.21,32.41,29.57,12.35916667
8/20/2019,3.94,5.73,0.73,0,19.66,2.67,20,13.08,20.31,19.16,25.98,32.38,13.63666667
8/21/2019,0.68,0,1.27,0,20.65,1.95,20,11.63,18.04,18.98,38.03,45.7,14.74416667
8/22/2019,1.35,1.52,2.52,0,25.79,1.6,19.94,15.61,18,19,32.32,50.84,15.7075
8/23/2019,0.64,0,0.57,0,15.14,1.2,19.9,8.18,18,19,38.32,30.15,12.59166667
8/24/2019,0.26,0,0.76,0,7.28,0.62,19.99,3.33,18,19,41.43,9.23,9.991666667
8/25/2019,0,0,0.608,0,7.348,1.526,20,3.256,18,19,47,8.68,10.4515
8/26/2019,0,0,0.456,0.02,7.416,2.432,10.17,3.182,18.19,28.8,34.75,8.13,9.462166667
8/27/2019,0,0,0.304,0.01,7.484,3.338,0.44,3.108,30.51,33.43,15.7,7.58,8.492
8/28/2019,0,0,0.152,0.07,7.552,4.244,0,3.034,26.41,28.37,5.65,7.03,6.876
8/29/2019,0.55,0,0,0,7.62,5.15,0.17,2.96,21.66,28.37,7.83,6.48,6.7325
8/30/2019,1.27,0,0.19,0,8.03,0,0.03,5.7,33,54,11.12,22.98,11.36
8/31/2019,0.62,0,0.32,0,6.64,0,0.05,4.76,33,54,14.22,13.44,10.5875
9/1/2019,3.86,6.83,0.86,0,12.8,0,0,11.51,33,54,13.9,22.87,13.3025
9/2/2019,2.13,0,0.45,0,5.54,1.2,0.09,1.45,33,54,11.91,7.83,9.8
9/3/2019,1.53,0.18,2.26,0,6.82,0,0.02,6.6,33,54,12.09,23.01,11.62583333
9/4/2019,2.09,7.41,0.52,0.03,14.3,1.87,0.03,14.93,33,54,11.61,36.61,14.7
9/5/2019,2.14,0,0.72,0,7.08,2.29,0.08,6.39,33,54,10.92,22.61,11.6025
9/6/2019,0.88,0,0,0,5.26,0.65,0.05,2.13,33,54,11.6,6.79,9.53
9/7/2019,2.31,0,0.65,0.02,4.46,0.61,0.04,2.59,33,54,9.83,12.09,9.966666667
9/8/2019,2.03,0,0.89,0.03,5.1,0.7,0.02,5.22,33,54,11.1,20.31,11.03333333
9/9/2019,0.56,0,0.42,0.29,7.11,0,0.02,4.36,33,54,11.42,21.44,11.05166667
9/10/2019,0.49,0,0.33,4.06,4.89,1.45,0.04,1.92,33,54,11.8,6.66,9.886666667
9/11/2019,0.84,0,1.46,0.12,4.85,0,0.05,2.63,33,54,11.22,11.46,9.969166667
9/12/2019,1.25,0,0.42,0,4.81,0,0.05,2.31,33,54,10.22,13.18,9.936666667
9/13/2019,0.82,0,0.95,0.02,6.3,0.39,0,5.77,33,54,10.56,28.31,11.67666667
9/14/2019,0.67,1.05,0.44,0,9.9,1.73,0,12.33,33,54,12.21,52.44,14.81416667
9/15/2019,0.21,0,0,0,6.69,1.97,0,6.3,33,54,11.66,25.21,11.58666667
9/16/2019,0.76,8.36,0.23,0,15.77,0.9,0,14.62,33,54,11.46,37.46,14.71333333
9/17/2019,0.55,0,0.4,0,8.46,0.26,0,9.13,33,54,10.15,45.66,13.4675
9/18/2019,0.43,0,0.64,0,5.55,0.38,0,4.46,33,54,9.07,16.95,10.37333333
9/19/2019,0.36,0,0.54,0.07,4.63,1.52,0.06,1.49,23.14,40.48,3.94,5.39,6.801666667
9/20/2019,0.52,0,0.22,0.08,3.4,3.34,1.15,1.99,14.19,18.18,0.53,5.16,4.063333333
9/21/2019,0,0,0.76,0,5.15,0,1.42,0.94,15.53,19.6,0.72,4.48,4.05
9/22/2019,0.2,2.58,0.59,0,7,2.02,0.76,2.96,24.57,25.58,0.12,6.46,6.07
9/23/2019,0.26,0,0.23,0,7.7,1.21,0.87,2.11,26,27,0,10.17,6.295833333
9/24/2019,0.07,0,1.41,0,11.22,0.88,0.68,4.87,26,27,0,18.7,7.569166667
9/25/2019,0.32,0,0.22,0,7.78,2.68,2.82,2.4,26,27,0,10.49,6.6425
9/26/2019,0.46,0,0.64,0,3.87,0.71,2.24,0.8,26,27,0,4.84,5.546666667
9/27/2019,0.67,0,0.53,0,4.25,0,2.84,0.91,26,27,0,5.92,5.676666667
9/28/2019,0.55,0,0.43,0,3.29,0.5,2.03,0.97,26,27,0,4.01,5.398333333
9/29/2019,0.44,0,0.69,0,3.56,0,1.66,1.02,26,27,0,3.59,5.33
9/30/2019,0.52,0,0.82,0,5.45,1.59,2.26,1.55,26,27,0,6.77,5.996666667
10/1/2019,1.11,11.92,0,0.08,25.17,1.31,3.14,21.17,20.19,36.97,4.36,50.54,14.66333333
10/2/2019,0.2,0,0.44,0,7.68,3.1,1.44,3.9,18.93,35.61,4.08,16.47,7.654166667
10/3/2019,0.12,0,0.84,0,5.88,3.78,4.31,2.67,21.61,40.46,2.28,12.68,7.885833333
10/4/2019,0.18,0,1.54,0,8.77,0.75,2.43,3.87,27.99,41.94,2.07,16.53,8.839166667
10/5/2019,0.13,0,1.05,0,8.8,0.24,2.11,4.01,35.71,50.02,2.23,17.02,10.11
10/6/2019,0.44,0,4.09,0,7.05,0.53,10.21,3.2,39.44,43.12,2.88,16.17,10.59416667
10/7/2019,0.19,0,0.39,0,8.02,0.5,3.94,3.73,49.76,60.41,1.9,20.42,12.43833333
10/8/2019,0.14,0,0.83,0,7.35,1.43,2.56,2.99,52.25,59.71,1.88,14.86,12
10/9/2019,0.21,0,0,0.02,8.71,0.77,9.67,3.79,32.77,41.73,5.26,16.51,9.953333333
10/10/2019,0.33,0,0,0.03,7.36,0,13.99,3.05,44,66,10.84,15.09,13.39083333
10/11/2019,0.34,0,0,0.01,8.18,0,12.55,2.86,44,66,10.26,13.27,13.1225
10/12/2019,1.01,0,0,0,8.36,0.66,12.76,3.53,44,66,10.31,16.94,13.63083333
10/13/2019,0.24,0,0,0.08,9.65,0,11.13,3.72,44,66,10.18,14.23,13.26916667
10/14/2019,0.47,0,0,0.02,9.12,0,12.16,2.86,44,66,9.9,14.31,13.23666667
10/15/2019,0.18,0,0,0.04,10.55,0,11.73,2.09,44,66,10.11,4.42,12.42666667
10/16/2019,0.13,0,0,0,5.58,0,12.37,1.49,44,66,10.7,3.29,11.96333333
10/17/2019,0.08,0,0,0.01,10.58,0.99,12.66,2.83,44,66,11.87,13.95,13.58083333
10/18/2019,0.06,0,0,0,4.29,0,12.54,1.09,44,66,11.73,5.19,12.075
10/19/2019,0.06,0,0,0.01,4.4,0,12.43,1.24,44,66,11.77,4.71,12.05166667
