Date,PM10,Pm2.5,SO2,avg
2019-08-07,24.57,55.26,13.76,31.19666666666667
2019-08-08,33.61,70.27,13.79,39.22333333333333
2019-08-09,29.77,62.63,13.86,35.42
2019-08-10,28.67,61.97,13.48,34.70666666666667
2019-08-11,24.12,53.82,13.44,30.459999999999997
2019-08-12,22.94,47.14,13.45,27.843333333333334
2019-08-13,22.85,47.17,13.91,27.97666666666667
2019-08-14,24.19,51.31,13.7,29.733333333333334
2019-08-15,18.05,39.23,13.61,23.63
2019-08-16,17.82,41.75,13.97,24.513333333333335
2019-08-17,17.25,34.87,16.11,22.74333333333333
2019-08-18,16.14666666666667,38.236666666666665,16.299999999999994,23.561111111111106
2019-08-19,15.043333333333333,41.60333333333333,16.49,24.378888888888884
2019-08-20,13.94,44.97,70.98,43.29666666666666
2019-08-21,18.54,42.04,153.9,71.49333333333334
2019-08-22,21.64,44.61,51.79,39.346666666666664
2019-08-23,23.0,54.73,100.74,59.48999999999999
2019-08-24,17.18,41.36,88.22,48.919999999999995
2019-08-25,2.46,48.86,140.08,63.800000000000004
2019-08-26,17.29,54.73,73.37,48.46333333333333
2019-08-27,19.68,58.34,39.21,39.076666666666675
2019-08-28,22.95,34.27,39.95,32.39
2019-08-29,42.86,18.98,68.02,43.28666666666667
2019-08-30,33.68,13.95,31.99,26.539999999999996
2019-08-31,7.22,5.83,168.36,60.470000000000006
2019-09-01,11.31,5.17,180.39,65.62333333333332
2019-09-02,18.62,9.23,132.73,53.526666666666664
2019-09-03,31.69,10.49,136.11,59.43000000000001
2019-09-04,44.47,21.72,177.27,81.15333333333334
2019-09-05,24.72,10.43,28.67,21.273333333333333
2019-09-06,28.36,13.04,13.29,18.23
2019-09-07,34.31,14.39,23.79,24.163333333333338
2019-09-08,4.65,7.34,8.92,6.97
2019-09-09,20.64,13.07,12.36,15.356666666666667
2019-09-10,43.52,21.46,42.05,35.67666666666667
2019-09-11,39.47,19.73,22.6,27.26666666666667
2019-09-12,34.6,15.58,10.6,20.26
2019-09-13,31.35,15.03,16.21,20.863333333333333
2019-09-14,47.96,21.46,19.72,29.713333333333335
2019-09-15,32.57,16.6,7.31,18.826666666666668
2019-09-16,36.68,16.73,8.2,20.536666666666665
2019-09-17,29.36,17.46,4.81,17.21
2019-09-18,43.59,20.55,2.84,22.326666666666668
2019-09-19,30.11,23.93,5.62,19.886666666666667
2019-09-20,30.19,16.92,3.65,16.919999999999998
2019-09-21,33.07,15.14,8.69,18.966666666666665
2019-09-22,46.29,21.74,6.22,24.75
2019-09-23,73.07,27.15,47.25,49.156666666666666
2019-09-24,77.31,30.74,84.37,64.14
2019-09-25,25.64,16.59,24.55,22.26
2019-09-26,29.155,15.36,35.825,26.78
2019-09-27,32.67,14.13,47.1,31.3
2019-09-28,40.053333333333335,16.566666666666666,32.87333333333333,29.831111111111113
2019-09-29,47.43666666666667,19.003333333333334,18.646666666666672,28.362222222222226
2019-09-30,54.82,21.44,4.42,26.893333333333334
2019-10-01,58.78,18.55,14.67,30.666666666666668
2019-10-02,62.245,24.045,36.905,41.065
2019-10-03,65.71,29.54,59.14,51.46333333333333
2019-10-04,57.32,27.62,28.38,37.77333333333333
2019-10-05,53.3,28.05,29.83,37.059999999999995
2019-10-06,61.055,23.965,21.16,35.39333333333333
2019-10-07,68.81,19.88,12.49,33.72666666666667
2019-10-08,71.64,22.29,14.55,36.160000000000004
2019-10-09,63.66,16.99,14.39,31.679999999999996
2019-10-10,63.3,23.77,18.33,35.13333333333333
2019-10-11,65.70333333333333,24.27,17.60681818181818,35.8600505050505
2019-10-12,68.10666666666667,24.77,16.883636363636366,36.58676767676768
2019-10-13,70.50999999999998,25.27,16.160454545454545,37.31348484848484
2019-10-14,72.91333333333333,25.77,15.437272727272726,38.04020202020202
2019-10-15,75.31666666666666,26.27,14.714090909090908,38.76691919191919
2019-10-16,77.72,26.77,13.990909090909089,39.49363636363636
2019-10-17,93.98,30.72,13.26772727272727,45.98924242424243
2019-10-18,70.98,26.82,12.544545454545453,36.78151515151516
2019-10-19,16.48,8.11,11.821363636363635,12.13712121212121
2019-10-20,20.315,9.44,11.098181818181818,13.617727272727274
2019-10-21,24.15,10.77,10.374999999999998,15.098333333333334
2019-10-22,29.42,10.87,9.65181818181818,16.647272727272725
2019-10-23,36.08,7.83,8.928636363636365,17.61287878787879
2019-10-24,30.055,12.155,8.205454545454543,16.805151515151515
2019-10-25,24.03,16.48,7.4822727272727265,15.997424242424245
2019-10-26,23.35,16.0,6.759090909090908,15.36969696969697
2019-10-27,39.095,18.755000000000006,6.03590909090909,21.29530303030303
2019-10-28,54.84,21.51,5.3127272727272725,27.220909090909092
2019-10-29,55.96,15.41,4.589545454545453,25.31984848484849
2019-10-30,45.43,13.39,3.8663636363636353,20.895454545454545
2019-10-31,35.36,11.57,3.1431818181818176,16.691060606060606
2019-11-01,33.89,9.62,2.42,15.31
2019-11-02,36.88,17.10333333333333,4.04,19.34111111111111
2019-11-03,39.2,24.586666666666666,5.2,22.995555555555555
2019-11-04,71.12,32.07,5.91,36.36666666666667
2019-11-05,66.27,16.59,6.81,29.89
2019-11-06,94.58,25.51,4.21,41.43333333333333
2019-11-07,53.53,28.29,3.19,28.336666666666662
2019-11-08,31.83,23.55,2.93,19.436666666666664
2019-11-09,37.2,8.64,2.2,16.013333333333335
2019-11-10,61.01,21.82,9.035,30.621666666666666
2019-11-11,84.82,35.0,15.87,45.23
2019-11-12,88.29,31.19,16.05,45.17666666666667
2019-11-13,83.97,24.98,17.1,42.01666666666667
2019-11-14,163.95,23.75,17.72,68.47333333333333
2019-11-15,86.25,33.49,16.43,45.39000000000001
2019-11-16,79.95,33.39,17.52,43.620000000000005
2019-11-17,71.79,30.61,16.58,39.660000000000004
2019-11-18,66.63,28.31,16.84,37.26
2019-11-19,73.37333333333333,30.88,16.766666666666666,40.339999999999996
2019-11-20,80.11666666666666,33.45,16.693333333333335,43.419999999999995
2019-11-21,86.86,36.02,16.62,46.5
2019-11-22,71.27,32.82,18.62,40.903333333333336
2019-11-23,82.17,33.8,17.66,44.54333333333333
2019-11-24,92.01,36.32,18.56,48.96333333333334
2019-11-25,107.46,43.81,19.55,56.94
2019-11-26,92.49,41.12,20.85,51.48666666666666
2019-11-27,63.82,31.03,18.37,37.74
2019-11-28,57.66,29.22,16.42,34.43333333333333
2019-11-29,64.15,32.35,15.95,37.483333333333334
2019-11-30,71.98,35.5,17.89,41.79
2019-12-01,80.71,38.74,18.14,45.86333333333332
2019-12-02,76.51,27.0,18.09,40.53333333333334
2019-12-03,48.59,17.8,16.64,27.676666666666666
2019-12-04,31.93,12.75,17.38,20.686666666666667
2019-12-05,47.8,24.03,19.1,30.310000000000002
2019-12-06,67.39,33.52,24.1,41.669999999999995
2019-12-07,66.2,30.36,18.92,38.49333333333333
