Date,Benzene,Ethyl Benzene,Mp Xylene,O_Xylene,Toluene
8/1/2019,0.27,0.49,0.48,0.59,3.68
8/2/2019,0.46,0.61,0.74,0.64,1.97
8/3/2019,0.43,0.45,0.72,0.81,3.57
8/4/2019,0.14,0.37,0.39,0,1.01
8/5/2019,0.18,0.39,0.4,0.28,0.99
8/6/2019,0.44,0.47,0.66,0.48,8.78
8/7/2019,0.33,0.57,0.87,0.51,7.57
8/8/2019,0.53,0.86,1.06,2.85,16.51
8/9/2019,0.35,0.46,0.64,0.28,4.31
8/10/2019,0.42,0.4,0.81,0.47,3.19
8/11/2019,0.21,0.25,0.32,0.11,0.97
8/12/2019,0.505,0.42,0.73,2.19,14.675
8/13/2019,0.8,0.59,1.14,4.27,28.38
8/14/2019,0.34,0.22,0.43,0.37,1.4
8/15/2019,0.24,0.45,0.52,0.24,1.29
8/16/2019,0.73,0.59,1.1,0.05,3.06
8/17/2019,0.632,0.554,1,0.16,2.872
8/18/2019,0.534,0.518,0.9,0.27,2.684
8/19/2019,0.436,0.482,0.8,0.38,2.496
8/20/2019,0.338,0.446,0.7,0.49,2.308
8/21/2019,0.24,0.41,0.6,0.6,2.12
8/22/2019,1.936666667,0.855,2.345,2.175,6.513333333
8/23/2019,3.633333333,1.3,4.09,3.75,10.90666667
8/24/2019,5.33,1.745,5.835,5.325,15.3
8/25/2019,7.026666667,2.19,7.58,6.9,19.69333333
8/26/2019,8.723333333,2.635,9.325,8.475,24.08666667
8/27/2019,10.42,3.08,11.07,10.05,28.48
8/28/2019,10.42,3.08,11.07,10.05,28.48
8/29/2019,1.05,1.9,6.17,11.53,37.92
8/30/2019,4.97,1.69,4.79,32.18,22.47
8/31/2019,0.62,0.89,2.2,3.8,10.22
9/1/2019,0.28,0.37,0.67,0.76,2.41
9/2/2019,1.44,2.44,8.57,7.86,10.76
9/3/2019,0.8,1.35,3.28,6.74,5.8
9/4/2019,0.63,0.74,1.57,4.76,19.51
9/5/2019,0.63,0.74,1.57,4.76,19.51
9/6/2019,0.63,0.74,1.57,4.76,19.51
9/7/2019,0.63,0.74,1.57,4.76,19.51
9/8/2019,0.63,0.74,1.57,4.76,19.51
9/9/2019,0.81,0.91,2.37,3.54,32.97
9/10/2019,0.45,0.5,1.1,1.1,4.24
9/11/2019,2.62,13.07,40.53,29.85,100.31
9/12/2019,0.42,1.24,5.22,3.05,17.7
9/13/2019,4.53,1.93,4.77,9.63,23.02
9/14/2019,0.31,0.37,0.73,0.48,3.99
9/15/2019,4.02,1.12,3.5,6.94,13.41
9/16/2019,1.55,0.95,2.01,5.13,18.28
